S.No,Question Name,Difficulty,LeetCode Link
1281,Find Consecutive Integers from a Data Stream,Medium,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream/
1282,Categorize Box According to Criteria,Easy,https://leetcode.com/problems/categorize-box-according-to-criteria/
1283,Maximize the Minimum Powered City,Hard,https://leetcode.com/problems/maximize-the-minimum-powered-city/
1284,Time Taken to Cross the Door,Hard,https://leetcode.com/problems/time-taken-to-cross-the-door/
1285,Maximal Score After Applying K Operations,Medium,https://leetcode.com/problems/maximal-score-after-applying-k-operations/
1286,Make Number of Distinct Characters Equal,Medium,https://leetcode.com/problems/make-number-of-distinct-characters-equal/
1287,Maximum Count of Positive Integer and Negative Integer,Easy,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/
1288,Customers With Strictly Increasing Purchases,Hard,https://leetcode.com/problems/customers-with-strictly-increasing-purchases/
1289,Minimum Cost to Buy Apples,Medium,https://leetcode.com/problems/minimum-cost-to-buy-apples/
1290,Closest Prime Numbers in Range,Medium,https://leetcode.com/problems/closest-prime-numbers-in-range/
1291,Distinct Prime Factors of Product of Array,Medium,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/
1292,Count the Digits That Divide a Number,Easy,https://leetcode.com/problems/count-the-digits-that-divide-a-number/
1293,Minimum Subarrays in a Valid Split,Medium,https://leetcode.com/problems/minimum-subarrays-in-a-valid-split/
1294,Difference Between Ones and Zeros in Row and Column,Medium,https://leetcode.com/problems/difference-between-ones-and-zeros-in-row-and-column/
1295,Count Anagrams,Hard,https://leetcode.com/problems/count-anagrams/
1296,Minimum Operations to Make Array Equal II,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii/
1297,Reward Top K Students,Medium,https://leetcode.com/problems/reward-top-k-students/
1298,Maximum Enemy Forts That Can Be Captured,Easy,https://leetcode.com/problems/maximum-enemy-forts-that-can-be-captured/
1299,Number of Great Partitions,Hard,https://leetcode.com/problems/number-of-great-partitions/
1300,Maximum Tastiness of Candy Basket,Medium,https://leetcode.com/problems/maximum-tastiness-of-candy-basket/
1301,Take K of Each Character From Left and Right,Medium,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/
1302,Shortest Distance to Target String in a Circular Array,Easy,https://leetcode.com/problems/shortest-distance-to-target-string-in-a-circular-array/
1303,Cycle Length Queries in a Tree,Hard,https://leetcode.com/problems/cycle-length-queries-in-a-tree/
1304,Add Edges to Make Degrees of All Nodes Even,Hard,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/
1305,Smallest Value After Replacing With Sum of Prime Factors,Medium,https://leetcode.com/problems/smallest-value-after-replacing-with-sum-of-prime-factors/
1306,Count Pairs Of Similar Strings,Easy,https://leetcode.com/problems/count-pairs-of-similar-strings/
1307,Number of Distinct Binary Strings After Applying Operations,Medium,https://leetcode.com/problems/number-of-distinct-binary-strings-after-applying-operations/
1308,Minimum Total Cost to Make Arrays Unequal,Hard,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal/
1309,Frog Jump II,Medium,https://leetcode.com/problems/frog-jump-ii/
1310,Maximum Star Sum of a Graph,Medium,https://leetcode.com/problems/maximum-star-sum-of-a-graph/
1311,Maximum Value of a String in an Array,Easy,https://leetcode.com/problems/maximum-value-of-a-string-in-an-array/
1312,Maximum Number of Points From Grid Queries,Hard,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries/
1313,Design Memory Allocator,Medium,https://leetcode.com/problems/design-memory-allocator/
1314,Longest Square Streak in an Array,Medium,https://leetcode.com/problems/longest-square-streak-in-an-array/
1315,Delete Greatest Value in Each Row,Easy,https://leetcode.com/problems/delete-greatest-value-in-each-row/
1316,Number of Nodes With Value One,Medium,https://leetcode.com/problems/number-of-nodes-with-value-one/
1317,Divide Nodes Into the Maximum Number of Groups,Hard,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups/
1318,Minimum Score of a Path Between Two Cities,Medium,https://leetcode.com/problems/minimum-score-of-a-path-between-two-cities/
1319,Divide Players Into Teams of Equal Skill,Medium,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill/
1320,Circular Sentence,Easy,https://leetcode.com/problems/circular-sentence/
1321,Minimum Split Into Subarrays With GCD Greater Than One,Medium,https://leetcode.com/problems/minimum-split-into-subarrays-with-gcd-greater-than-one/
1322,Count Palindromic Subsequences,Hard,https://leetcode.com/problems/count-palindromic-subsequences/
1323,Minimum Penalty for a Shop,Medium,https://leetcode.com/problems/minimum-penalty-for-a-shop/
1324,Minimum Cuts to Divide a Circle,Easy,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle/
1325,Count Subarrays With Median K,Hard,https://leetcode.com/problems/count-subarrays-with-median-k/
1326,Remove Nodes From Linked List,Medium,https://leetcode.com/problems/remove-nodes-from-linked-list/
1327,Append Characters to String to Make Subsequence,Medium,https://leetcode.com/problems/append-characters-to-string-to-make-subsequence/
1328,Find the Pivot Integer,Easy,https://leetcode.com/problems/find-the-pivot-integer/
1329,Maximize Total Tastiness of Purchased Fruits,Medium,https://leetcode.com/problems/maximize-total-tastiness-of-purchased-fruits/
1330,Number of Beautiful Partitions,Hard,https://leetcode.com/problems/number-of-beautiful-partitions/
1331,Minimum Fuel Cost to Report to the Capital,Medium,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital/
1332,Closest Nodes Queries in a Binary Search Tree,Medium,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree/
1333,Number of Unequal Triplets in Array,Easy,https://leetcode.com/problems/number-of-unequal-triplets-in-array/
1334,Merge Operations to Turn Array Into a Palindrome,Medium,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome/
1335,Most Profitable Path in a Tree,Medium,https://leetcode.com/problems/most-profitable-path-in-a-tree/
1336,Split Message Based on Limit,Hard,https://leetcode.com/problems/split-message-based-on-limit/
1337,Count Ways To Build Good Strings,Medium,https://leetcode.com/problems/count-ways-to-build-good-strings/
1338,Number of Distinct Averages,Easy,https://leetcode.com/problems/number-of-distinct-averages/
1339,Closest Fair Integer,Medium,https://leetcode.com/problems/closest-fair-integer/
1340,Maximum Number of Non-overlapping Palindrome Substrings,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings/
1341,Minimum Number of Operations to Sort a Binary Tree by Level,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-sort-a-binary-tree-by-level/
1342,Number of Subarrays With LCM Equal to K,Medium,https://leetcode.com/problems/number-of-subarrays-with-lcm-equal-to-k/
1343,Convert the Temperature,Easy,https://leetcode.com/problems/convert-the-temperature/
1344,Design SQL,Medium,https://leetcode.com/problems/design-sql/
1345,Minimum Total Distance Traveled,Hard,https://leetcode.com/problems/minimum-total-distance-traveled/
1346,Total Cost to Hire K Workers,Medium,https://leetcode.com/problems/total-cost-to-hire-k-workers/
1347,Maximum Sum of Distinct Subarrays With Length K,Medium,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/
1348,Apply Operations to an Array,Easy,https://leetcode.com/problems/apply-operations-to-an-array/
1349,Words Within Two Edits of Dictionary,Medium,https://leetcode.com/problems/words-within-two-edits-of-dictionary/
1350,Next Greater Element IV,Hard,https://leetcode.com/problems/next-greater-element-iv/
1351,Destroy Sequential Targets,Medium,https://leetcode.com/problems/destroy-sequential-targets/
1352,Odd String Difference,Easy,https://leetcode.com/problems/odd-string-difference/
1353,Number of Subarrays With GCD Equal to K,Medium,https://leetcode.com/problems/number-of-subarrays-with-gcd-equal-to-k/
1354,Height of Binary Tree After Subtree Removal Queries,Hard,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/
1355,Minimum Addition to Make Integer Beautiful,Medium,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful/
1356,Most Popular Video Creator,Medium,https://leetcode.com/problems/most-popular-video-creator/
1357,Average Value of Even Numbers That Are Divisible by Three,Easy,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three/
1358,Sum of Number and Its Reverse,Medium,https://leetcode.com/problems/sum-of-number-and-its-reverse/
1359,Color the Triangle Red,Hard,https://leetcode.com/problems/color-the-triangle-red/
1360,Minimum Number of Operations to Make Arrays Similar,Hard,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar/
1361,Minimum Cost to Make Array Equal,Hard,https://leetcode.com/problems/minimum-cost-to-make-array-equal/
1362,Minimum Time to Kill All Monsters,Hard,https://leetcode.com/problems/minimum-time-to-kill-all-monsters/
1363,Determine if Two Events Have Conflict,Easy,https://leetcode.com/problems/determine-if-two-events-have-conflict/
1364,Count Strictly Increasing Subarrays,Medium,https://leetcode.com/problems/count-strictly-increasing-subarrays/
1365,Employees With Deductions,Medium,https://leetcode.com/problems/employees-with-deductions/
1366,Bitwise XOR of All Pairings,Medium,https://leetcode.com/problems/bitwise-xor-of-all-pairings/
1367,Remove Letter To Equalize Frequency,Easy,https://leetcode.com/problems/remove-letter-to-equalize-frequency/
1368,Create Components With Same Value,Hard,https://leetcode.com/problems/create-components-with-same-value/
1369,Minimize Maximum of Array,Medium,https://leetcode.com/problems/minimize-maximum-of-array/
1370,Range Product Queries of Powers,Medium,https://leetcode.com/problems/range-product-queries-of-powers/
1371,Number of Valid Clock Times,Easy,https://leetcode.com/problems/number-of-valid-clock-times/
1372,Count Subarrays With Fixed Bounds,Hard,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/
1373,Longest Increasing Subsequence II,Hard,https://leetcode.com/problems/longest-increasing-subsequence-ii/
1374,Count Number of Distinct Integers After Reverse Operations,Medium,https://leetcode.com/problems/count-number-of-distinct-integers-after-reverse-operations/
1375,Largest Positive Integer That Exists With Its Negative,Easy,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/
1376,Change Null Values in a Table to the Previous Value,Medium,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value/
1377,Median of a Row Wise Sorted Matrix,Medium,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix/
1378,Paths in Matrix Whose Sum Is Divisible by K,Hard,https://leetcode.com/problems/paths-in-matrix-whose-sum-is-divisible-by-k/
1379,Using a Robot to Print the Lexicographically Smallest String,Medium,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/
1380,Find The Original Array of Prefix Xor,Medium,https://leetcode.com/problems/find-the-original-array-of-prefix-xor/
1381,The Employee That Worked on the Longest Task,Easy,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task/
1382,Choose Edges to Maximize Score in a Tree,Medium,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree/
1383,Sort the Olympic Table,Easy,https://leetcode.com/problems/sort-the-olympic-table/
1384,Calculate the Influence of Each Salesperson,Medium,https://leetcode.com/problems/calculate-the-influence-of-each-salesperson/
1385,Number of Pairs Satisfying Inequality,Hard,https://leetcode.com/problems/number-of-pairs-satisfying-inequality/
1386,Longest Uploaded Prefix,Medium,https://leetcode.com/problems/longest-uploaded-prefix/
1387,Partition String Into Substrings With Values at Most K,Medium,https://leetcode.com/problems/partition-string-into-substrings-with-values-at-most-k/
1388,Maximum Deletions on a String,Hard,https://leetcode.com/problems/maximum-deletions-on-a-string/
1389,Minimize XOR,Medium,https://leetcode.com/problems/minimize-xor/
1390,Maximum Sum of an Hourglass,Medium,https://leetcode.com/problems/maximum-sum-of-an-hourglass/
1391,Number of Common Factors,Easy,https://leetcode.com/problems/number-of-common-factors/
1392,Minimize Maximum Value in a Grid,Hard,https://leetcode.com/problems/minimize-maximum-value-in-a-grid/
1393,Number of Good Paths,Hard,https://leetcode.com/problems/number-of-good-paths/
1394,Find All Good Indices,Medium,https://leetcode.com/problems/find-all-good-indices/
1395,Longest Subarray With Maximum Bitwise AND,Medium,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and/
1396,Sort the People,Easy,https://leetcode.com/problems/sort-the-people/
1397,Generate the Invoice,Hard,https://leetcode.com/problems/generate-the-invoice/
1398,Minimum Costs Using the Train Line,Hard,https://leetcode.com/problems/minimum-costs-using-the-train-line/
1399,Minimum Money Required Before Transactions,Hard,https://leetcode.com/problems/minimum-money-required-before-transactions/
1400,Smallest Subarrays With Maximum Bitwise OR,Medium,https://leetcode.com/problems/smallest-subarrays-with-maximum-bitwise-or/
1401,Maximum Matching of Players With Trainers,Medium,https://leetcode.com/problems/maximum-matching-of-players-with-trainers/
1402,Count Days Spent Together,Easy,https://leetcode.com/problems/count-days-spent-together/
1403,Number of Unique Subjects Taught by Each Teacher,Easy,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher/
1404,Sum of Prefix Scores of Strings,Hard,https://leetcode.com/problems/sum-of-prefix-scores-of-strings/
1405,Reverse Odd Levels of Binary Tree,Medium,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/
1406,Length of the Longest Alphabetical Continuous Substring,Medium,https://leetcode.com/problems/length-of-the-longest-alphabetical-continuous-substring/
1407,Smallest Even Multiple,Easy,https://leetcode.com/problems/smallest-even-multiple/
1408,Maximum Number of Books You Can Take,Hard,https://leetcode.com/problems/maximum-number-of-books-you-can-take/
1409,Sort Array by Moving Items to Empty Space,Hard,https://leetcode.com/problems/sort-array-by-moving-items-to-empty-space/
1410,Divide Intervals Into Minimum Number of Groups,Medium,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/
1411,Optimal Partition of String,Medium,https://leetcode.com/problems/optimal-partition-of-string/
1412,Most Frequent Even Element,Easy,https://leetcode.com/problems/most-frequent-even-element/
1413,Finding the Number of Visible Mountains,Medium,https://leetcode.com/problems/finding-the-number-of-visible-mountains/
1414,Compute the Rank as a Percentage,Medium,https://leetcode.com/problems/compute-the-rank-as-a-percentage/
1415,Task Scheduler II,Medium,https://leetcode.com/problems/task-scheduler-ii/
1416,Maximum Rows Covered by Columns,Medium,https://leetcode.com/problems/maximum-rows-covered-by-columns/
1417,Strictly Palindromic Number,Medium,https://leetcode.com/problems/strictly-palindromic-number/
1418,Find Subarrays With Equal Sum,Easy,https://leetcode.com/problems/find-subarrays-with-equal-sum/
1419,Meeting Rooms III,Hard,https://leetcode.com/problems/meeting-rooms-iii/
1420,Longest Nice Subarray,Medium,https://leetcode.com/problems/longest-nice-subarray/
1421,Number of Ways to Reach a Position After Exactly k Steps,Medium,https://leetcode.com/problems/number-of-ways-to-reach-a-position-after-exactly-k-steps/
1422,Check Distances Between Same Letters,Easy,https://leetcode.com/problems/check-distances-between-same-letters/
1423,Largest Palindromic Number,Medium,https://leetcode.com/problems/largest-palindromic-number/
1424,Minimum Adjacent Swaps to Make a Valid Array,Medium,https://leetcode.com/problems/minimum-adjacent-swaps-to-make-a-valid-array/
1425,Max Sum of a Pair With Equal Sum of Digits,Medium,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits/
1426,Build a Matrix With Conditions,Hard,https://leetcode.com/problems/build-a-matrix-with-conditions/
1427,Minimum Amount of Time to Collect Garbage,Medium,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/
1428,Removing Stars From a String,Medium,https://leetcode.com/problems/removing-stars-from-a-string/
1429,Longest Subsequence With Limited Sum,Easy,https://leetcode.com/problems/longest-subsequence-with-limited-sum/
1430,Valid Palindrome IV,Medium,https://leetcode.com/problems/valid-palindrome-iv/
1431,Maximum Segment Sum After Removals,Hard,https://leetcode.com/problems/maximum-segment-sum-after-removals/
1432,Shifting Letters II,Medium,https://leetcode.com/problems/shifting-letters-ii/
1433,Time Needed to Rearrange a Binary String,Medium,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string/
1434,Minimum Recolors to Get K Consecutive Black Blocks,Easy,https://leetcode.com/problems/minimum-recolors-to-get-k-consecutive-black-blocks/
1435,Find the K-Sum of an Array,Hard,https://leetcode.com/problems/find-the-k-sum-of-an-array/
1436,Amount of Time for Binary Tree to Be Infected,Medium,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/
1437,Minimum Hours of Training to Win a Competition,Easy,https://leetcode.com/problems/minimum-hours-of-training-to-win-a-competition/
1438,Find Minimum Time to Finish All Jobs II,Medium,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs-ii/
1439,Count Special Integers,Hard,https://leetcode.com/problems/count-special-integers/
1440,Construct Smallest Number From DI String,Medium,https://leetcode.com/problems/construct-smallest-number-from-di-string/
1441,Node With Highest Edge Score,Medium,https://leetcode.com/problems/node-with-highest-edge-score/
1442,Largest Local Values in a Matrix,Easy,https://leetcode.com/problems/largest-local-values-in-a-matrix/
1443,All the Matches of the League,Easy,https://leetcode.com/problems/all-the-matches-of-the-league/
1444,Product Sales Analysis V,Easy,https://leetcode.com/problems/product-sales-analysis-v/
1445,Product Sales Analysis IV,Medium,https://leetcode.com/problems/product-sales-analysis-iv/
1446,Minimum Replacements to Sort the Array,Hard,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/
1447,Maximum Number of Robots Within Budget,Hard,https://leetcode.com/problems/maximum-number-of-robots-within-budget/
1448,Count Number of Bad Pairs,Medium,https://leetcode.com/problems/count-number-of-bad-pairs/
1449,Merge Similar Items,Easy,https://leetcode.com/problems/merge-similar-items/
1450,The First Day of the Maximum Recorded Degree in Each City,Medium,https://leetcode.com/problems/the-first-day-of-the-maximum-recorded-degree-in-each-city/
1451,Reachable Nodes With Restrictions,Medium,https://leetcode.com/problems/reachable-nodes-with-restrictions/
1452,Longest Ideal Subsequence,Medium,https://leetcode.com/problems/longest-ideal-subsequence/
1453,Check if There is a Valid Partition For The Array,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/
1454,Number of Arithmetic Triplets,Easy,https://leetcode.com/problems/number-of-arithmetic-triplets/
1455,Arrange Table by Gender,Medium,https://leetcode.com/problems/arrange-table-by-gender/
1456,Tasks Count in the Weekend,Medium,https://leetcode.com/problems/tasks-count-in-the-weekend/
1457,Longest Cycle in a Graph,Hard,https://leetcode.com/problems/longest-cycle-in-a-graph/
1458,Find Closest Node to Given Two Nodes,Medium,https://leetcode.com/problems/find-closest-node-to-given-two-nodes/
1459,Maximum Number of Groups Entering a Competition,Medium,https://leetcode.com/problems/maximum-number-of-groups-entering-a-competition/
1460,Make Array Zero by Subtracting Equal Amounts,Easy,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/
1461,Shortest Impossible Sequence of Rolls,Hard,https://leetcode.com/problems/shortest-impossible-sequence-of-rolls/
1462,Design a Number Container System,Medium,https://leetcode.com/problems/design-a-number-container-system/
1463,Best Poker Hand,Easy,https://leetcode.com/problems/best-poker-hand/
1464,Number of Zero-Filled Subarrays,Medium,https://leetcode.com/problems/number-of-zero-filled-subarrays/
1465,Products With Three or More Orders in Two Consecutive Years,Medium,https://leetcode.com/problems/products-with-three-or-more-orders-in-two-consecutive-years/
1466,Number of Excellent Pairs,Hard,https://leetcode.com/problems/number-of-excellent-pairs/
1467,Design a Food Rating System,Medium,https://leetcode.com/problems/design-a-food-rating-system/
1468,Equal Row and Column Pairs,Medium,https://leetcode.com/problems/equal-row-and-column-pairs/
1469,First Letter to Appear Twice,Easy,https://leetcode.com/problems/first-letter-to-appear-twice/
1470,Maximum Profit From Trading Stocks,Medium,https://leetcode.com/problems/maximum-profit-from-trading-stocks/
1471,Number of People That Can Be Seen in a Grid,Medium,https://leetcode.com/problems/number-of-people-that-can-be-seen-in-a-grid/
1472,Minimum Deletions to Make Array Divisible,Hard,https://leetcode.com/problems/minimum-deletions-to-make-array-divisible/
1473,Query Kth Smallest Trimmed Number,Medium,https://leetcode.com/problems/query-kth-smallest-trimmed-number/
1474,Maximum Number of Pairs in Array,Easy,https://leetcode.com/problems/maximum-number-of-pairs-in-array/
1475,Closest Node to Path in Tree,Hard,https://leetcode.com/problems/closest-node-to-path-in-tree/
1476,Subarray With Elements Greater Than Varying Threshold,Hard,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold/
1477,Minimum Sum of Squared Difference,Medium,https://leetcode.com/problems/minimum-sum-of-squared-difference/
1478,The Latest Time to Catch a Bus,Medium,https://leetcode.com/problems/the-latest-time-to-catch-a-bus/
1479,Evaluate Boolean Binary Tree,Easy,https://leetcode.com/problems/evaluate-boolean-binary-tree/
1480,Count the Number of Ideal Arrays,Hard,https://leetcode.com/problems/count-the-number-of-ideal-arrays/
1481,Move Pieces to Obtain a String,Medium,https://leetcode.com/problems/move-pieces-to-obtain-a-string/
1482,Smallest Number in Infinite Set,Medium,https://leetcode.com/problems/smallest-number-in-infinite-set/
1483,Minimum Amount of Time to Fill Cups,Easy,https://leetcode.com/problems/minimum-amount-of-time-to-fill-cups/
1484,Spiral Matrix IV,Medium,https://leetcode.com/problems/spiral-matrix-iv/
1485,Number of Increasing Paths in a Grid,Hard,https://leetcode.com/problems/number-of-increasing-paths-in-a-grid/
1486,Number of People Aware of a Secret,Medium,https://leetcode.com/problems/number-of-people-aware-of-a-secret/
1487,Decode the Message,Easy,https://leetcode.com/problems/decode-the-message/
1488,Minimum Number of Keypresses,Medium,https://leetcode.com/problems/minimum-number-of-keypresses/
1489,Number of Distinct Roll Sequences,Hard,https://leetcode.com/problems/number-of-distinct-roll-sequences/
1490,Count Unreachable Pairs of Nodes in an Undirected Graph,Medium,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/
1491,Maximum XOR After Operations ,Medium,https://leetcode.com/problems/maximum-xor-after-operations/
1492,Count Asterisks,Easy,https://leetcode.com/problems/count-asterisks/
1493,Minimum Score After Removals on a Tree,Hard,https://leetcode.com/problems/minimum-score-after-removals-on-a-tree/
1494,Minimum Flips in Binary Tree to Get Result,Hard,https://leetcode.com/problems/minimum-flips-in-binary-tree-to-get-result/
1495,Check if Matrix Is X-Matrix,Easy,https://leetcode.com/problems/check-if-matrix-is-x-matrix/
1496,Count Number of Ways to Place Houses,Medium,https://leetcode.com/problems/count-number-of-ways-to-place-houses/
1497,Design Video Sharing Platform,Hard,https://leetcode.com/problems/design-video-sharing-platform/
1498,Longest Binary Subsequence Less Than or Equal to K,Medium,https://leetcode.com/problems/longest-binary-subsequence-less-than-or-equal-to-k/
1499,Count Subarrays With Score Less Than K,Hard,https://leetcode.com/problems/count-subarrays-with-score-less-than-k/
1500,Match Substring After Replacement,Hard,https://leetcode.com/problems/match-substring-after-replacement/
1501,Successful Pairs of Spells and Potions,Medium,https://leetcode.com/problems/successful-pairs-of-spells-and-potions/
1502,Strong Password Checker II,Easy,https://leetcode.com/problems/strong-password-checker-ii/
1503,Naming a Company,Hard,https://leetcode.com/problems/naming-a-company/
1504,Design a Text Editor,Hard,https://leetcode.com/problems/design-a-text-editor/
1505,Replace Elements in an Array,Medium,https://leetcode.com/problems/replace-elements-in-an-array/
1506,Partition Array Such That Maximum Difference Is K,Medium,https://leetcode.com/problems/partition-array-such-that-maximum-difference-is-k/
1507,Min Max Game,Easy,https://leetcode.com/problems/min-max-game/
1508,Count Positions on Street With Required Brightness,Medium,https://leetcode.com/problems/count-positions-on-street-with-required-brightness/
1509,Root Equals Sum of Children,Easy,https://leetcode.com/problems/root-equals-sum-of-children/
1510,Add Two Integers,Easy,https://leetcode.com/problems/add-two-integers/
1511,Dynamic Unpivoting of a Table,Hard,https://leetcode.com/problems/dynamic-unpivoting-of-a-table/
1512,Dynamic Pivoting of a Table,Hard,https://leetcode.com/problems/dynamic-pivoting-of-a-table/
1513,Booking Concert Tickets in Groups,Hard,https://leetcode.com/problems/booking-concert-tickets-in-groups/
1514,Maximum Total Importance of Roads,Medium,https://leetcode.com/problems/maximum-total-importance-of-roads/
1515,Sender With Largest Word Count,Medium,https://leetcode.com/problems/sender-with-largest-word-count/
1516,Check if Number Has Equal Digit Count and Digit Value,Easy,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value/
1517,Number of Times a Driver Was a Passenger,Medium,https://leetcode.com/problems/number-of-times-a-driver-was-a-passenger/
1518,Minimum Obstacle Removal to Reach Corner,Hard,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/
1519,Steps to Make Array Non-decreasing,Medium,https://leetcode.com/problems/steps-to-make-array-non-decreasing/
1520,Apply Discount to Prices,Medium,https://leetcode.com/problems/apply-discount-to-prices/
1521,Rearrange Characters to Make Target String,Easy,https://leetcode.com/problems/rearrange-characters-to-make-target-string/
1522,The Users That Are Eligible for Discount,Easy,https://leetcode.com/problems/the-users-that-are-eligible-for-discount/
1523,Users With Two Purchases Within Seven Days,Medium,https://leetcode.com/problems/users-with-two-purchases-within-seven-days/
1524,Maximum Sum Score of Array,Medium,https://leetcode.com/problems/maximum-sum-score-of-array/
1525,Sum of Total Strength of Wizards,Hard,https://leetcode.com/problems/sum-of-total-strength-of-wizards/
1526,Minimum Lines to Represent a Line Chart,Medium,https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/
1527,Maximum Bags With Full Capacity of Rocks,Medium,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/
1528,Percentage of Letter in String,Easy,https://leetcode.com/problems/percentage-of-letter-in-string/
1529,Longest Path With Different Adjacent Characters,Hard,https://leetcode.com/problems/longest-path-with-different-adjacent-characters/
1530,Maximum Trailing Zeros in a Cornered Path,Medium,https://leetcode.com/problems/maximum-trailing-zeros-in-a-cornered-path/
1531,Minimum Rounds to Complete All Tasks,Medium,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/
1532,Calculate Digit Sum of a String,Easy,https://leetcode.com/problems/calculate-digit-sum-of-a-string/
1533,Substring With Largest Variance,Hard,https://leetcode.com/problems/substring-with-largest-variance/
1534,Maximum White Tiles Covered by a Carpet,Medium,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet/
1535,Number of Ways to Split Array,Medium,https://leetcode.com/problems/number-of-ways-to-split-array/
1536,Count Integers in Intervals,Hard,https://leetcode.com/problems/count-integers-in-intervals/
1537,Largest Combination With Bitwise AND Greater Than Zero,Medium,https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero/
1538,Maximum Consecutive Floors Without Special Floors,Medium,https://leetcode.com/problems/maximum-consecutive-floors-without-special-floors/
1539,Minimum Health to Beat Game,Medium,https://leetcode.com/problems/minimum-health-to-beat-game/
1540,Maximum Score of a Node Sequence,Hard,https://leetcode.com/problems/maximum-score-of-a-node-sequence/
1541,Design an ATM Machine,Medium,https://leetcode.com/problems/design-an-atm-machine/
1542,Number of Ways to Buy Pens and Pencils,Medium,https://leetcode.com/problems/number-of-ways-to-buy-pens-and-pencils/
1543,Find Closest Number to Zero,Easy,https://leetcode.com/problems/find-closest-number-to-zero/
1544, Check if There Is a Valid Parentheses String Path,Hard,https://leetcode.com/problems/check-if-there-is-a-valid-parentheses-string-path/
1545,Count Number of Texts,Medium,https://leetcode.com/problems/count-number-of-texts/
1546,Count Nodes Equal to Average of Subtree,Medium,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/
1547,Largest 3-Same-Digit Number in String,Easy,https://leetcode.com/problems/largest-3-same-digit-number-in-string/
1548,Minimum Number of Operations to Convert Time,Easy,https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/
1549,Escape the Spreading Fire,Hard,https://leetcode.com/problems/escape-the-spreading-fire/
1550,Count Unguarded Cells in the Grid,Medium,https://leetcode.com/problems/count-unguarded-cells-in-the-grid/
1551,Minimum Average Difference,Medium,https://leetcode.com/problems/minimum-average-difference/
1552,Count Prefixes of a Given String,Easy,https://leetcode.com/problems/count-prefixes-of-a-given-string/
1553,Total Appeal of A String,Hard,https://leetcode.com/problems/total-appeal-of-a-string/
1554,K Divisible Elements Subarrays,Medium,https://leetcode.com/problems/k-divisible-elements-subarrays/
1555,Minimum Consecutive Cards to Pick Up,Medium,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/
